"Predator.lifestage","Type.of.feeding.interaction","regression_intercept","regression_slope","p.value","F-statistic","R-Squared"
"adult","piscivorous",18859.8842209802,59.1262314720646,8.67461555108944e-86,389.54918201242,0.021536869262521
"adult","planktivorous",26967.7354654314,152.795681507931,0.12748816361192,2.34776566062414,0.0148266421747683
"adult","predacious",14022.5769795346,86.6733851893621,1.7263770292629e-138,653.067813104219,0.076096790112405
"adult","predacious/piscivorous",503.058942134918,11.949120671082,4.79389028064085e-09,38.3766492391315,0.194433583643607
"juvenile","piscivorous",5510.17020640088,10.2848479190317,6.55097406740436e-08,29.339261757932,0.00959947808315518
"juvenile","planktivorous",2.25196721311474,6557.37704918046,NA,NA,1
"juvenile","predacious",1477.0669778648,72.5276909974529,4.1285842295562e-35,158.590259538988,0.0702164807756492
"larva","planktivorous",0.149952307811492,-0.125540385475094,0.628040559141267,0.234868991404557,0.000229535758135438
"larva","predacious",0.107758676365578,16253.0221597406,5.60208041878431e-104,572.975881760158,0.321359300269679
"larva / juvenile","insectivorous",-3.45975627178893,81.1591380069622,8.51926669047017e-08,49.2088780154159,0.621254577117463
"larva / juvenile","piscivorous",9.86483143239672,172.511898493461,0.133275952079355,2.72353678574574,0.232313578702393
"larva / juvenile","planktivorous",0.412017531898669,100348.136755092,0.0668312825188673,3.42209376818833,0.0281834521378093
"larva / juvenile","predacious",1.51278179933139,164.216226022138,5.25237217935043e-16,70.4338776254893,0.126808753413814
"postlarva","piscivorous",0.0382407206914082,0.582050921513236,9.72722953165719e-08,47.6289430356757,0.605743142370175
"postlarva","predacious",0.133502073567387,-0.00861452759101591,0.389989666306616,0.748237314533598,0.0105760559264123
"postlarva/juvenile","piscivorous",1.28,NA,NA,0,0
"postlarva/juvenile","planktivorous",0.153516129748767,21012.870102476,5.19518130117455e-06,21.65156363799,0.0763315504427213
"postlarva/juvenile","predacious",0.565541752418578,1.74618988244161,1.32011188235218e-07,28.5306686992787,0.046276154857748
